id,years_worked,victime_race,count_arrests,officer_race,officer_rank,count_allegations
3655,36,,4,Black,Police Officer,4
3856,36,,3,White,Police Officer,3
4043,36,,2,White,Sergeant,2
4157,36,Black,2,White,Police Officer,2
4157,36,,21,White,Police Officer,21
4470,36,,2,White,Police Officer,2
4563,36,,9,White,Captain,9
5201,36,,4,White,Detective,4
5219,36,,2,White,Sergeant,2
5219,36,Black,4,White,Sergeant,4
5219,36,Hispanic,2,White,Sergeant,2
5219,36,,2,White,Sergeant,2
5356,36,,1,White,Police Officer,1
5576,36,,4,Black,Detective,4
6080,36,Black,2,White,Captain,2
6080,36,,3,White,Captain,3
6099,36,,2,White,Police Officer,2
6099,36,Black,2,White,Police Officer,2
6099,36,White,2,White,Police Officer,2
6099,36,,15,White,Police Officer,15
6113,36,,6,White,Sergeant,6
6154,36,,8,Black,Sergeant,8
6239,36,,1,White,Police Officer,1
6262,36,,2,Black,Sergeant,2
6423,36,Black,2,White,Police Officer,2
6423,36,,2,White,Police Officer,2
6481,36,,1,White,Police Officer,1
6533,36,Black,2,Black,,2
6768,36,Black,4,White,Police Officer,4
6768,36,,14,White,Police Officer,14
6790,36,Black,2,White,Lieutenant,2
6790,36,,4,White,Lieutenant,4
6872,36,,16,Black,Police Officer,16
6939,36,,2,White,Police Officer,2
7153,36,,1,White,Police Officer,1
7328,36,Asian/Pacific Islander,2,White,Field Training Officer,2
7328,36,Black,2,White,Field Training Officer,2
7328,36,Hispanic,4,White,Field Training Officer,4
7328,36,,17,White,Field Training Officer,17
7356,36,,2,White,Assistant Deputy Superintendent,2
7439,36,Black,2,Black,Sergeant,2
7439,36,,2,Black,Sergeant,2
7445,36,,4,White,Detective,4
7539,36,,8,White,Police Officer,8
7764,36,Black,1,Black,Lieutenant,1
7764,36,,39,Black,Lieutenant,39
7921,36,,15,White,Police Officer,15
7937,36,White,3,White,Sergeant,3
7937,36,,11,White,Sergeant,11
7997,36,,12,White,Field Training Officer,12
8076,36,,4,White,Police Officer,4
8192,36,,5,White,Captain,5
8297,36,,2,White,Sergeant,2
8301,36,Black,2,Black,Police Officer,2
8396,36,Black,2,White,Police Officer,2
8396,36,,27,White,Police Officer,27
8615,36,,2,White,Police Officer,2
8622,36,,4,White,Lieutenant,4
8855,36,,5,White,Detective,5
8960,36,White,2,White,Police Officer,2
8960,36,,16,White,Police Officer,16
9055,36,,9,White,Lieutenant,9
9179,36,Black,1,White,Police Officer,1
9179,36,White,1,White,Police Officer,1
9179,36,,2,White,Police Officer,2
9646,36,Black,6,Hispanic,Police Officer,6
9646,36,White,2,Hispanic,Police Officer,2
9646,36,,31,Hispanic,Police Officer,31
9734,36,Black,1,White,Police Officer,1
9734,36,White,1,White,Police Officer,1
9833,36,Black,2,White,Police Officer,2
9833,36,Hispanic,2,White,Police Officer,2
9833,36,,2,White,Police Officer,2
9923,36,,6,Black,Lieutenant,6
10029,36,Black,2,White,Lieutenant,2
10029,36,,35,White,Lieutenant,35
10138,36,,2,White,Sergeant,2
10138,36,Black,2,White,Sergeant,2
10138,36,,67,White,Sergeant,67
10466,36,Black,2,White,Sergeant,2
10466,36,,8,White,Sergeant,8
10600,36,,5,White,Police Officer,5
10623,36,Black,2,White,Detective,2
10623,36,,3,White,Detective,3
10723,36,,2,White,Lieutenant,2
10723,36,Black,2,White,Lieutenant,2
10723,36,White,2,White,Lieutenant,2
10723,36,,23,White,Lieutenant,24
10834,36,,5,White,Detective,5
10849,36,Black,3,White,Sergeant,3
10849,36,,67,White,Sergeant,67
10854,36,Black,2,White,Detective,2
11197,36,Black,2,White,Lieutenant,2
11197,36,Hispanic,2,White,Lieutenant,2
11197,36,White,2,White,Lieutenant,2
11197,36,,2,White,Lieutenant,2
11304,36,Black,2,White,Police Officer,2
11304,36,,10,White,Police Officer,10
11557,36,,3,Black,Lieutenant,3
11645,36,,9,White,Police Officer,9
11675,36,Black,2,White,Police Officer,2
11675,36,White,2,White,Police Officer,2
11675,36,,8,White,Police Officer,8
11889,36,,3,White,Police Officer,3
12014,36,,3,Hispanic,Assistant Deputy Superintendent,3
12281,36,,2,White,Detective,2
12284,36,Black,2,Black,Sergeant,2
12284,36,,28,Black,Sergeant,28
12444,36,Black,1,Black,Sergeant,1
12450,36,,8,White,Detective,8
12770,36,Asian/Pacific Islander,2,Black,Police Officer,2
12770,36,Black,6,Black,Police Officer,6
12770,36,Hispanic,4,Black,Police Officer,4
12770,36,,16,Black,Police Officer,16
12886,36,Black,4,White,Police Officer,4
12886,36,White,2,White,Police Officer,2
12893,36,,1,White,Police Officer,1
12893,36,Black,1,White,Police Officer,1
12893,36,,5,White,Police Officer,6
12905,36,,6,White,Police Officer,6
12971,36,Black,2,White,Police Officer,2
13003,36,,4,Black,Lieutenant,4
13135,36,,4,Black,Sergeant,4
13296,36,,4,White,Captain,4
13467,36,Black,5,White,Detective,5
13467,36,Hispanic,1,White,Detective,1
13467,36,White,1,White,Detective,1
13467,36,,6,White,Detective,6
13622,36,,30,Black,Captain,30
13766,36,,2,Black,Police Officer,2
13938,36,,16,Black,Police Officer,16
13941,36,,16,Black,Police Officer,16
13949,36,,2,White,Detective,2
13949,36,,12,White,Detective,12
14069,36,Asian/Pacific Islander,2,White,Police Officer,2
14069,36,Black,4,White,Police Officer,4
14069,36,,4,White,Police Officer,4
14301,36,,7,White,Deputy Chief,7
14411,36,,8,White,Lieutenant,8
14498,36,,2,White,Police Officer,2
14809,36,Black,3,White,Lieutenant,3
14809,36,,21,White,Lieutenant,21
15005,36,,5,White,Police Officer,5
15072,36,,8,White,Sergeant,8
15135,36,,12,White,Lieutenant,12
15156,36,,4,White,Captain,4
15257,36,Black,4,White,Police Officer,4
15257,36,White,1,White,Police Officer,1
15257,36,,24,White,Police Officer,24
15264,36,,2,White,Police Officer,2
15396,36,Black,2,White,Police Officer,2
15396,36,White,2,White,Police Officer,2
15396,36,,14,White,Police Officer,14
15438,36,,1,White,Captain,1
15438,36,Black,4,White,Captain,4
15438,36,,30,White,Captain,30
15448,36,Black,1,White,Sergeant,1
15448,36,White,1,White,Sergeant,1
15448,36,,8,White,Sergeant,8
15499,36,,2,White,Sergeant,2
15670,36,,1,Black,Police Officer,1
16004,36,Black,2,White,Captain,2
16088,36,,9,Black,Sergeant,9
16129,36,,19,Black,Sergeant,19
16135,36,,4,Black,Police Officer,4
16270,36,,4,White,Police Officer,4
16529,36,,2,Hispanic,Police Officer,2
16529,36,,2,Hispanic,Police Officer,2
16796,36,,2,White,Police Officer,2
16818,36,Asian/Pacific Islander,2,White,Police Officer,2
16818,36,,6,White,Police Officer,6
16837,36,,6,White,Police Officer,6
17043,36,White,2,White,Sergeant,2
17247,36,,2,White,Police Officer,2
17465,36,White,1,White,Commander,1
17465,36,,11,White,Commander,11
17511,36,Black,2,Black,Sergeant,2
17813,36,,1,Black,Police Officer,1
17816,36,Black,2,White,Police Officer,2
17816,36,White,4,White,Police Officer,4
17816,36,,241,White,Police Officer,241
17968,36,Black,2,White,Sergeant,2
17968,36,,4,White,Sergeant,4
17993,36,Black,1,Black,Police Officer,1
17993,36,Hispanic,2,Black,Police Officer,2
17993,36,,5,Black,Police Officer,5
18118,36,Black,2,White,Sergeant,2
18118,36,,9,White,Sergeant,9
18177,36,,2,Black,Police Officer,2
18202,36,,27,White,Captain,27
18234,36,Black,2,White,Lieutenant,2
18234,36,,6,White,Lieutenant,6
18247,36,Black,2,White,Lieutenant,2
18247,36,White,2,White,Lieutenant,2
18247,36,,2,White,Lieutenant,2
18347,36,,10,White,Police Officer,10
18367,36,,6,White,Sergeant,6
18406,36,,6,White,Captain,6
19101,36,,2,Black,Police Officer,2
19106,36,,8,White,Captain,8
19290,36,Black,2,White,Lieutenant,2
19290,36,,19,White,Lieutenant,19
19379,36,,29,Black,Police Officer,29
19568,36,,2,White,Police Officer,2
19836,36,,17,White,Sergeant,17
19865,36,Black,2,White,Sergeant,2
19865,36,,9,White,Sergeant,9
20016,36,,5,White,Police Officer,5
20174,36,,2,White,Police Officer,2
20194,36,,2,Asian/Pacific,Police Officer,2
20590,36,,2,White,Captain,2
20607,36,Hispanic,2,White,Sergeant,2
20607,36,,3,White,Sergeant,3
20840,36,Black,1,White,Lieutenant,1
20840,36,,18,White,Lieutenant,18
20896,36,,2,White,Police Officer,2
21049,36,,2,White,Police Officer,2
21232,36,White,2,White,Police Officer,2
21232,36,,2,White,Police Officer,2
21728,36,,1,White,Police Officer,1
21796,36,Black,2,White,Police Officer,2
21796,36,,13,White,Police Officer,13
21962,36,White,2,White,Commander,2
21962,36,,10,White,Commander,10
22338,36,,2,White,Detective,2
22366,36,,3,White,Sergeant,3
22438,36,,6,White,Police Officer,6
22528,36,,18,White,Police Officer,18
22714,36,Black,1,White,Police Officer,1
23000,36,,2,Black,Police Officer,2
23053,36,Black,2,White,Police Officer,2
23053,36,White,2,White,Police Officer,2
23115,36,Asian/Pacific Islander,2,White,Lieutenant,2
23115,36,Black,2,White,Lieutenant,2
23115,36,,22,White,Lieutenant,22
23335,36,,11,White,Police Officer,11
23473,36,White,2,White,Sergeant,2
23516,36,Black,1,Black,Police Officer,1
23516,36,,4,Black,Police Officer,4
23642,36,Black,2,White,Lieutenant,2
23642,36,,2,White,Lieutenant,2
23811,36,,6,White,Lieutenant,6
23857,36,,4,White,Detective,4
23955,36,Black,2,White,Sergeant,2
23955,36,White,1,White,Sergeant,1
23955,36,,11,White,Sergeant,11
24202,36,,4,Black,Sergeant,4
24225,36,,4,Black,Deputy Superintendent,4
24235,36,Black,1,White,Captain,1
24349,36,Black,1,Hispanic,Detective,1
24349,36,,41,Hispanic,Detective,41
24791,36,Black,2,White,Police Officer,2
24791,36,,2,White,Police Officer,2
25382,36,,8,White,Police Officer,8
25704,36,,2,White,Police Officer,2
25771,36,Black,2,White,Sergeant,2
25771,36,,4,White,Sergeant,4
25939,36,,6,White,Detective,6
26112,36,,1,White,,1
26312,36,Black,2,White,Police Officer,2
26312,36,,19,White,Police Officer,19
26320,36,Black,1,White,Sergeant,1
26320,36,,6,White,Sergeant,6
26343,36,,2,White,Police Officer,2
26418,36,,2,White,Police Officer,2
26549,36,,3,White,Police Officer,3
26635,36,,4,White,Police Officer,4
26703,36,,18,Black,Police Officer,18
26826,36,,18,Black,Police Officer,18
27333,36,,2,White,Police Officer,2
27349,36,Black,8,Black,Police Officer,8
27349,36,White,1,Black,Police Officer,1
27349,36,,9,Black,Police Officer,9
27407,36,Black,4,White,Police Officer,4
27407,36,White,2,White,Police Officer,2
27407,36,,9,White,Police Officer,9
27422,36,,2,Black,Police Officer,2
27482,36,Black,4,White,Police Officer,4
27482,36,,21,White,Police Officer,21
27577,36,,8,White,Police Officer,8
27667,36,,2,White,Police Officer,2
27667,36,Black,4,White,Police Officer,4
27667,36,,17,White,Police Officer,17
27816,36,,4,White,Police Officer,4
27895,36,Black,2,White,Police Officer,2
27895,36,,29,White,Police Officer,29
28139,36,,2,White,Police Officer,2
28139,36,Black,4,White,Police Officer,4
28139,36,Hispanic,2,White,Police Officer,2
28139,36,,17,White,Police Officer,17
28434,36,,2,White,Police Officer,2
28490,36,Black,1,White,Police Officer,1
28490,36,,4,White,Police Officer,4
28527,36,,8,Black,Commander,8
28683,36,Black,2,White,Police Officer,2
28683,36,,4,White,Police Officer,4
28686,36,Black,1,White,Police Officer,1
28686,36,,4,White,Police Officer,4
28787,36,Black,2,White,Police Officer,2
28787,36,,3,White,Police Officer,3
28816,36,,6,White,Captain,6
28841,36,Black,5,White,Police Officer,5
28841,36,White,2,White,Police Officer,2
28841,36,,29,White,Police Officer,29
28885,36,,10,White,Police Officer,10
28912,36,Black,2,White,Detective,2
28912,36,Hispanic,2,White,Detective,2
28912,36,,27,White,Detective,27
29116,36,,8,White,Police Officer,8
29191,36,,14,White,Detective,14
29532,36,White,4,White,Field Training Officer,4
29532,36,,15,White,Field Training Officer,15
29568,36,,23,White,Police Officer,23
29708,36,,2,White,Sergeant,2
29732,36,,2,White,Police Officer,2
29794,36,,8,White,Police Officer,8
29939,36,,2,White,Sergeant,2
30047,36,,35,Black,Police Officer,35
30184,36,,4,Black,Sergeant,4
30542,36,Hispanic,2,White,Sergeant,2
30542,36,,26,White,Sergeant,26
30654,36,,2,White,Detective,2
30714,36,,14,Black,Lieutenant,14
31091,36,,1,White,Police Officer,1
31111,36,,2,White,Lieutenant,2
31202,36,Black,1,White,Captain,1
31345,36,Black,1,White,Police Officer,1
31345,36,Hispanic,1,White,Police Officer,1
31345,36,,9,White,Police Officer,9
31396,36,,4,White,Police Officer,4
31454,36,Black,2,Black,Police Officer,2
31454,36,,3,Black,Police Officer,3
31765,36,,3,White,Police Officer,3
31784,36,,4,White,Police Officer,4
70,35,Black,2,Hispanic,Commander,2
70,35,White,1,Hispanic,Commander,1
70,35,,11,Hispanic,Commander,11
197,35,,33,Hispanic,Police Officer,33
634,35,,2,White,Police Officer,2
634,35,Black,9,White,Police Officer,9
634,35,White,2,White,Police Officer,2
634,35,,20,White,Police Officer,20
713,35,,7,White,Police Officer,7
843,35,,2,Black,Police Officer,2
843,35,White,2,Black,Police Officer,2
843,35,,28,Black,Police Officer,28
979,35,Black,3,White,Police Officer,3
979,35,Hispanic,4,White,Police Officer,4
979,35,,37,White,Police Officer,37
1290,35,Black,8,White,Detective,8
1290,35,Hispanic,2,White,Detective,2
1290,35,White,2,White,Detective,2
1290,35,,27,White,Detective,27
1330,35,,2,White,Detective,2
1331,35,,20,White,Captain,20
1496,35,Black,11,White,Detective,11
1496,35,,34,White,Detective,34
1504,35,Black,1,White,Police Officer,1
1504,35,White,1,White,Police Officer,1
1504,35,,4,White,Police Officer,4
1638,35,,7,White,Captain,7
1912,35,,2,White,Police Officer,2
2192,35,,2,White,Lieutenant,2
2349,35,Black,1,White,Police Officer,1
2383,35,Asian/Pacific Islander,1,Black,Police Officer,1
2383,35,Black,14,Black,Police Officer,14
2383,35,Hispanic,2,Black,Police Officer,2
2383,35,White,2,Black,Police Officer,2
2383,35,,61,Black,Police Officer,61
2451,35,Black,4,White,Lieutenant,4
2451,35,Hispanic,2,White,Lieutenant,2
2451,35,,10,White,Lieutenant,10
2501,35,,7,Black,Detective,8
2713,35,Black,5,Black,Police Officer,5
2713,35,Hispanic,2,Black,Police Officer,2
2713,35,,10,Black,Police Officer,10
2818,35,,6,Black,Commander,6
2913,35,Black,2,Black,Police Officer,2
2913,35,,3,Black,Police Officer,3
2950,35,Black,1,Black,Police Officer,1
2950,35,,2,Black,Police Officer,2
3061,35,,2,Black,Sergeant,2
3071,35,,4,Black,Police Officer,4
3138,35,,2,White,Police Officer,2
3189,35,Black,2,White,Police Officer,2
3189,35,,10,White,Police Officer,10
3360,35,,4,White,Police Officer,4
3365,35,,19,White,Police Officer,19
3541,35,White,1,White,Deputy Superintendent,1
3541,35,,10,White,Deputy Superintendent,10
3601,35,,2,White,Sergeant,2
3698,35,Black,2,White,Police Officer,2
3698,35,Hispanic,1,White,Police Officer,1
3698,35,,27,White,Police Officer,27
3839,35,Black,2,White,Detective,2
3839,35,,4,White,Detective,4
3840,35,Black,1,White,Detective,1
3840,35,,4,White,Detective,4
3841,35,,13,White,Lieutenant,13
3911,35,Black,2,White,Lieutenant,2
3911,35,,8,White,Lieutenant,8
4184,35,,2,White,Field Training Officer,2
4511,35,,5,White,Lieutenant,5
4587,35,Black,4,White,Deputy Chief,4
4587,35,,9,White,Deputy Chief,9
4778,35,Black,2,White,Police Officer,2
4778,35,,8,White,Police Officer,8
4859,35,,3,White,Sergeant,3
4958,35,,8,White,Sergeant,8
5016,35,,6,Black,Sergeant,6
5044,35,,5,White,Captain,5
5322,35,Black,4,White,Lieutenant,4
5322,35,,9,White,Lieutenant,9
5807,35,Black,2,White,Detective,2
5807,35,,17,White,Detective,17
5811,35,,2,Hispanic,Detective,2
5844,35,,4,White,Detective,4
6065,35,Black,1,White,Police Officer,1
6065,35,,1,White,Police Officer,1
6110,35,Black,1,White,Police Officer,1
6110,35,,4,White,Police Officer,4
6121,35,,2,White,Deputy Chief,2
6592,35,,5,Hispanic,Police Officer,5
6684,35,Black,2,White,Police Officer,2
6684,35,,11,White,Police Officer,11
6778,35,Black,1,White,Police Officer,1
6778,35,,16,White,Police Officer,16
6871,35,,1,Black,Police Officer,1
7065,35,,7,White,Police Officer,7
7084,35,Black,2,White,Police Officer,2
7084,35,,8,White,Police Officer,8
7115,35,Hispanic,2,White,Sergeant,2
7115,35,,39,White,Sergeant,39
7453,35,,6,White,Police Officer,6
7682,35,Black,2,White,Police Officer,2
7682,35,,9,White,Police Officer,9
7792,35,Asian/Pacific Islander,2,White,Detective,2
7792,35,Black,2,White,Detective,2
7817,35,Black,1,White,Sergeant,1
7817,35,,29,White,Sergeant,29
7847,35,,1,White,Sergeant,1
7924,35,Black,8,White,Police Officer,8
7924,35,Hispanic,1,White,Police Officer,1
7924,35,White,2,White,Police Officer,2
7924,35,,37,White,Police Officer,37
7927,35,,7,White,Sergeant,7
7976,35,White,2,White,Police Officer,2
7976,35,,10,White,Police Officer,10
7980,35,Asian/Pacific Islander,1,White,Police Officer,1
7980,35,Black,1,White,Police Officer,1
7980,35,White,1,White,Police Officer,1
7980,35,,9,White,Police Officer,9
8080,35,Black,2,White,Police Officer,2
8167,35,Black,2,White,Sergeant,2
8167,35,,14,White,Sergeant,14
8254,35,,2,White,Police Officer,2
8327,35,,15,White,Lieutenant,15
8619,35,Black,2,White,Lieutenant,2
8619,35,,22,White,Lieutenant,22
8669,35,,13,White,Sergeant,13
8674,35,White,2,White,Assistant Deputy Superintendent,2
8674,35,,2,White,Assistant Deputy Superintendent,2
8728,35,Black,1,White,Police Officer,1
8728,35,,9,White,Police Officer,9
8773,35,,32,Hispanic,Police Officer,32
8823,35,Black,3,White,Captain,3
8823,35,,8,White,Captain,8
8839,35,,45,White,Lieutenant,45
8885,35,,4,White,Detective,4
9090,35,,12,White,Police Officer,12
9117,35,,2,Black,,2
9184,35,,8,White,Sergeant,8
9327,35,,4,White,Police Officer,4
9465,35,Black,1,White,Police Officer,1
9465,35,,13,White,Police Officer,13
9577,35,Black,2,Hispanic,Sergeant,2
9577,35,,85,Hispanic,Sergeant,85
9663,35,,8,White,Police Officer,8
9673,35,,2,White,Sergeant,2
9759,35,Black,1,White,Sergeant,1
9759,35,,50,White,Sergeant,50
10139,35,,7,White,Lieutenant,7
10149,35,,4,White,Police Officer,4
10202,35,White,1,White,Captain,1
10202,35,,12,White,Captain,12
10269,35,Black,6,Hispanic,Police Officer,6
10269,35,White,2,Hispanic,Police Officer,2
10269,35,,26,Hispanic,Police Officer,26
10606,35,Black,2,White,Police Officer,2
10606,35,Hispanic,2,White,Police Officer,2
10606,35,,2,White,Police Officer,2
10762,35,,5,White,Police Officer,5
10801,35,,2,White,Police Officer,2
10884,35,Asian/Pacific Islander,2,White,Sergeant,2
10884,35,,11,White,Sergeant,11
10939,35,,6,White,Police Officer,6
11147,35,,24,White,Sergeant,24
11179,35,Black,1,White,Police Officer,1
11179,35,White,2,White,Police Officer,2
11179,35,,37,White,Police Officer,37
11266,35,,60,Black,Lieutenant,60
11313,35,,4,White,Police Officer,4
11566,35,Black,2,White,Detective,2
11566,35,,6,White,Detective,6
11637,35,,7,White,Police Officer,7
11768,35,,6,White,Detective,6
11770,35,,8,White,Police Officer,8
11846,35,,2,White,Police Officer,2
11908,35,Hispanic,1,Black,Police Officer,1
11908,35,,13,Black,Police Officer,13
11976,35,Black,2,White,Sergeant,2
11976,35,,2,White,Sergeant,2
12252,35,,2,Black,Superintendent Of Police,2
12346,35,,28,Black,Police Officer,28
12401,35,,2,White,Detective,2
12543,35,,6,White,Detective,6
12574,35,,9,White,Police Officer,9
12743,35,Black,2,White,Police Officer,2
12743,35,,2,White,Police Officer,2
12758,35,Black,1,White,Sergeant,1
12758,35,,2,White,Sergeant,2
12788,35,Black,8,Black,Police Officer,8
12788,35,White,3,Black,Police Officer,3
12788,35,,54,Black,Police Officer,54
12944,35,,10,White,Police Officer,10
13145,35,,2,Hispanic,Sergeant,2
13206,35,Black,2,Black,Sergeant,2
13206,35,,4,Black,Sergeant,4
13251,35,,2,White,Police Officer,2
13264,35,,2,White,Assistant Deputy Superintendent,2
13264,35,White,1,White,Assistant Deputy Superintendent,1
13264,35,,1,White,Assistant Deputy Superintendent,1
13361,35,Black,6,White,Police Officer,6
13361,35,Hispanic,2,White,Police Officer,2
13361,35,White,4,White,Police Officer,4
13361,35,,71,White,Police Officer,71
13492,35,,2,White,Detective,2
13493,35,Black,4,Black,Police Officer,4
13493,35,,6,Black,Police Officer,6
13721,35,,20,White,Sergeant,20
13795,35,Black,7,Black,Police Officer,7
13795,35,Hispanic,2,Black,Police Officer,2
13795,35,,24,Black,Police Officer,24
13957,35,,4,Hispanic,Detective,4
13979,35,,13,White,Police Officer,13
14121,35,,1,White,Sergeant,1
14121,35,Black,2,White,Sergeant,2
14121,35,Hispanic,3,White,Sergeant,3
14121,35,,17,White,Sergeant,17
14134,35,,2,White,Detective,2
14134,35,White,2,White,Detective,2
14134,35,,7,White,Detective,7
14140,35,,4,White,Police Officer,4
14231,35,,15,White,Commander,15
14412,35,,2,Black,Police Officer,2
14566,35,Black,3,White,Police Officer,3
14566,35,White,2,White,Police Officer,2
14566,35,,7,White,Police Officer,7
14623,35,,2,White,Police Officer,2
14693,35,Black,1,White,Police Officer,1
14693,35,,6,White,Police Officer,6
14736,35,,8,Black,Sergeant,8
14834,35,,2,White,Sergeant,2
14835,35,Black,2,White,Police Officer,2
14835,35,,14,White,Police Officer,14
14838,35,Black,4,White,Police Officer,4
14838,35,,3,White,Police Officer,3
14848,35,,2,White,Police Officer,2
14927,35,,2,White,Detective,2
14958,35,Black,4,White,Police Officer,4
14958,35,,18,White,Police Officer,18
15011,35,,1,White,Field Training Officer,1
15057,35,Black,4,White,Sergeant,4
15057,35,Hispanic,2,White,Sergeant,2
15057,35,,30,White,Sergeant,30
15112,35,Black,2,White,Sergeant,2
15112,35,,26,White,Sergeant,26
15261,35,Black,2,White,Police Officer,2
15261,35,,9,White,Police Officer,9
15276,35,,29,White,Police Officer,29
15371,35,,14,White,Sergeant,14
15431,35,,15,White,Lieutenant,15
15694,35,Black,3,White,Police Officer,3
15694,35,Hispanic,1,White,Police Officer,1
15694,35,,13,White,Police Officer,13
15702,35,,4,White,Police Officer,4
15741,35,,3,White,Police Officer,3
15814,35,,1,White,Police Officer,1
15877,35,,5,White,Police Officer,5
16165,35,,2,Black,Police Officer,2
16250,35,,8,Black,Detective,8
16366,35,Black,2,White,Field Training Officer,2
16366,35,,6,White,Field Training Officer,6
16568,35,Black,1,Hispanic,Police Officer,1
16568,35,,10,Hispanic,Police Officer,10
16737,35,,8,Black,Police Officer,8
16852,35,,5,White,Police Officer,5
16857,35,,2,White,Detective,2
17143,35,,22,White,Sergeant,22
17191,35,,2,White,Police Officer,2
17321,35,,3,White,Sergeant,3
17424,35,Black,4,Black,Police Officer,4
17424,35,White,2,Black,Police Officer,2
17424,35,,38,Black,Police Officer,39
17886,35,,2,White,Detective,2
17957,35,,14,White,Police Officer,14
18013,35,Black,2,White,Detective,2
18013,35,,1,White,Detective,1
18057,35,,1,White,Captain,1
18148,35,,4,Black,Police Officer,4
18450,35,Black,4,White,Police Officer,4
18450,35,,4,White,Police Officer,4
18474,35,,35,White,Police Officer,35
18482,35,,13,White,Police Officer,13
18650,35,,3,White,Police Officer,3
18955,35,,2,White,Sergeant,2
18975,35,Black,1,White,Police Officer,1
18975,35,,61,White,Police Officer,61
18999,35,,4,White,Detective,4
19055,35,,8,White,Police Officer,8
19132,35,Black,3,White,Police Officer,3
19132,35,,7,White,Police Officer,7
19156,35,,2,Black,Police Officer,2
19269,35,,5,White,Police Officer,5
19321,35,,2,Black,Police Officer,2
19359,35,,6,White,Deputy Superintendent,6
19371,35,,2,White,Police Officer,2
19491,35,,45,Black,Police Officer,45
19500,35,Black,1,Black,Sergeant,1
19500,35,,20,Black,Sergeant,20
19504,35,,16,Black,Sergeant,16
19518,35,,14,White,Police Officer,14
19827,35,,2,White,Lieutenant,2
20056,35,Black,5,White,Sergeant,5
20056,35,,87,White,Sergeant,87
20124,35,,24,White,Police Officer,24
20260,35,Black,5,White,Police Officer,5
20260,35,,8,White,Police Officer,8
20353,35,Black,3,White,Sergeant,3
20353,35,,16,White,Sergeant,16
20371,35,,5,Black,Police Officer,5
20372,35,,2,Black,Police Officer,2
20817,35,Black,4,White,Lieutenant,4
20817,35,,38,White,Lieutenant,38
20847,35,,1,White,Detective,1
20879,35,Black,2,White,Captain,2
20883,35,Black,2,White,Police Officer,2
20883,35,,17,White,Police Officer,17
20957,35,,9,White,Lieutenant,9
20991,35,Black,2,White,Detective,2
20998,35,,7,White,Police Officer,7
21011,35,Black,2,White,Lieutenant,2
21075,35,,19,White,Detective,19
21077,35,Black,10,White,Police Officer,10
21077,35,,38,White,Police Officer,38
21305,35,,8,White,Police Officer,8
21643,35,White,2,White,Police Officer,2
21643,35,,4,White,Police Officer,4
21648,35,Black,2,Black,Sergeant,2
21648,35,,5,Black,Sergeant,5
21657,35,Black,6,White,Detective,6
21657,35,,13,White,Detective,13
21675,35,,12,White,Police Officer,12
21767,35,,8,White,Captain,8
21836,35,Black,2,Black,Police Officer,2
21836,35,,29,Black,Police Officer,29
21878,35,,2,Black,Sergeant,2
21920,35,,5,White,Police Officer,5
21985,35,,2,Black,Police Officer,2
21985,35,Black,2,Black,Police Officer,2
21985,35,Hispanic,2,Black,Police Officer,2
21985,35,,5,Black,Police Officer,5
22002,35,Black,2,White,Deputy Chief,2
22002,35,,17,White,Deputy Chief,17
22060,35,Black,1,White,Police Officer,1
22060,35,Hispanic,2,White,Police Officer,2
22060,35,White,1,White,Police Officer,1
22060,35,,4,White,Police Officer,4
22067,35,,14,Black,Police Officer,14
22326,35,,3,White,Police Officer,3
22461,35,,3,White,Police Officer,3
22590,35,,4,White,Police Officer,4
22632,35,,14,White,Police Officer,14
22656,35,Black,3,White,Sergeant,3
22656,35,,13,White,Sergeant,13
22812,35,Black,2,White,Police Officer,2
22985,35,,2,White,Police Officer,2
22988,35,,5,Black,Police Officer,5
23185,35,,1,White,Police Officer,1
23194,35,Black,3,White,Captain,3
23194,35,White,2,White,Captain,2
23194,35,,9,White,Captain,9
23231,35,,2,White,Police Officer,2
23249,35,Black,2,White,Police Officer,2
23249,35,White,2,White,Police Officer,2
23249,35,,5,White,Police Officer,5
23330,35,Black,7,White,Police Officer,7
23330,35,Hispanic,2,White,Police Officer,2
23330,35,,10,White,Police Officer,10
23512,35,Black,1,White,Police Officer,1
23524,35,,2,Black,Police Officer,2
23588,35,,2,White,Police Officer,2
23622,35,,22,White,Police Officer,22
23673,35,White,2,Black,Police Officer,2
23840,35,Black,2,White,Detective,2
23882,35,Black,2,Black,Police Officer,2
23882,35,,13,Black,Police Officer,13
24012,35,,5,White,Police Officer,5
24025,35,Black,2,Hispanic,Police Officer,2
24025,35,,2,Hispanic,Police Officer,2
24356,35,,8,Hispanic,Commander,8
24480,35,Black,2,Black,Detective,2
24480,35,,11,Black,Detective,11
24573,35,,1,White,Police Officer,1
24626,35,,7,White,Detective,7
24680,35,Black,1,White,Detective,1
24680,35,White,2,White,Detective,2
24680,35,,17,White,Detective,17
24752,35,Hispanic,2,White,Detective,2
24752,35,,20,White,Detective,20
24993,35,,3,White,Police Officer,3
25034,35,,1,White,Police Officer,1
25154,35,Hispanic,1,White,Sergeant,1
25154,35,,9,White,Sergeant,9
25608,35,,3,White,Police Officer,3
25612,35,Black,2,White,Captain,2
25612,35,,12,White,Captain,12
25650,35,,5,White,Police Officer,5
25834,35,Black,2,White,Lieutenant,2
25880,35,,8,Black,Lieutenant,8
