id,years_worked,victime_race,count_arrests,officer_race,officer_rank,count_allegations
6707,41,,3,White,Police Officer,3
6921,41,,3,White,Lieutenant,3
6961,41,,6,Hispanic,Police Officer,6
7636,41,Black,4,White,Detective,4
7636,41,,15,White,Detective,15
7830,41,,5,White,Police Officer,5
8199,41,Black,2,White,Police Officer,2
8199,41,,4,White,Police Officer,4
9206,41,,15,White,Police Officer,15
9256,41,White,2,White,Detective,2
9256,41,,6,White,Detective,6
9957,41,,16,White,Detective,16
10059,41,Black,2,White,Police Officer,2
10059,41,,15,White,Police Officer,15
10381,41,,3,White,Police Officer,3
10768,41,,6,White,Detective,6
11207,41,,16,White,Police Officer,16
11415,41,,1,White,Detective,1
11415,41,,4,White,Detective,4
11536,41,Black,1,Black,Police Officer,1
11536,41,,5,Black,Police Officer,5
11576,41,,14,White,Detective,14
11788,41,Black,2,White,Detective,2
11788,41,,6,White,Detective,6
11906,41,White,1,White,Sergeant,1
11906,41,,22,White,Sergeant,22
11977,41,,5,White,Captain,5
12365,41,,8,White,Lieutenant,8
12693,41,,2,White,Detective,2
12740,41,Black,2,White,Detective,2
12740,41,,11,White,Detective,11
13581,41,Black,2,White,Captain,2
13581,41,,14,White,Captain,14
13664,41,Black,2,White,Sergeant,2
13664,41,,8,White,Sergeant,8
14396,41,Black,4,White,Lieutenant,4
14396,41,,8,White,Lieutenant,8
14871,41,,5,White,Captain,5
14904,41,,3,White,Lieutenant,3
15281,41,,6,White,Detective,6
15307,41,Black,2,White,Police Officer,2
15307,41,,7,White,Police Officer,7
15563,41,,2,White,Police Officer,2
15715,41,,2,White,Sergeant,2
15833,41,,3,Black,Sergeant,3
16362,41,,2,White,Police Officer,2
16417,41,Black,3,White,Sergeant,3
16417,41,,10,White,Sergeant,10
17184,41,Black,2,White,Lieutenant,2
17184,41,,6,White,Lieutenant,6
17431,41,,21,White,Sergeant,21
17759,41,,19,White,Police Officer,19
17838,41,,5,White,Sergeant,5
19037,41,,2,White,Detective,2
19690,41,White,2,White,Sergeant,2
19690,41,,10,White,Sergeant,10
19767,41,,2,White,Captain,2
19889,41,Hispanic,2,White,Captain,2
19889,41,White,2,White,Captain,2
19889,41,,3,White,Captain,3
19906,41,,42,White,Sergeant,42
20040,41,,2,White,Captain,2
20040,41,,6,White,Captain,6
20269,41,,3,Hispanic,Police Officer,3
20388,41,,37,White,Sergeant,37
21023,41,,9,White,Detective,9
21062,41,,3,White,Captain,3
22446,41,,2,White,Police Officer,2
22568,41,,35,White,Sergeant,35
22818,41,Black,2,White,Detective,2
22818,41,White,2,White,Detective,2
22818,41,,12,White,Detective,12
22938,41,,2,Black,Sergeant,2
23283,41,,12,White,Police Officer,12
23304,41,Black,4,White,Field Training Officer,4
23304,41,White,2,White,Field Training Officer,2
23304,41,,30,White,Field Training Officer,30
24013,41,Black,4,White,Sergeant,4
24013,41,,10,White,Sergeant,10
24721,41,,41,White,Lieutenant,41
25402,41,,10,White,Police Officer,10
25444,41,Hispanic,2,White,Police Officer,2
25456,41,,2,White,Sergeant,2
25807,41,,2,White,Police Officer,2
27105,41,Black,1,White,Police Officer,1
27105,41,,10,White,Police Officer,10
27165,41,,4,White,Detective,4
27493,41,Black,1,White,Police Officer,1
27493,41,White,2,White,Police Officer,2
27493,41,,8,White,Police Officer,8
27628,41,,1,White,Police Officer,1
28018,41,Black,2,White,Police Officer,2
28018,41,,16,White,Police Officer,16
28414,41,Black,2,White,Detective,2
28414,41,,9,White,Detective,9
28800,41,,4,White,Police Officer,4
28806,41,Black,2,White,Police Officer,2
28840,41,,3,White,Captain,3
28924,41,Black,4,Black,Police Officer,4
28924,41,White,2,Black,Police Officer,2
28924,41,,39,Black,Police Officer,39
29520,41,Black,2,White,Police Officer,2
29520,41,Hispanic,1,White,Police Officer,1
29520,41,White,1,White,Police Officer,1
29520,41,,40,White,Police Officer,40
30129,41,Black,2,White,Police Officer,2
30129,41,,21,White,Police Officer,21
30614,41,Black,2,White,Police Officer,2
30614,41,,6,White,Police Officer,6
31464,41,Black,1,White,Sergeant,1
31464,41,,30,White,Sergeant,30
31488,41,Black,2,White,Sergeant,2
31488,41,,7,White,Sergeant,7
32314,41,,2,Hispanic,Police Officer,2
32314,41,Hispanic,2,Hispanic,Police Officer,2
32314,41,,70,Hispanic,Police Officer,70
408,40,,2,White,Police Officer,2
608,40,,4,White,Police Officer,4
742,40,Black,3,White,Police Officer,3
742,40,,1,White,Police Officer,1
1967,40,,2,White,Captain,2
2420,40,,3,White,Police Officer,3
2830,40,,2,White,Sergeant,2
2830,40,Black,3,White,Sergeant,3
2830,40,,19,White,Sergeant,19
3096,40,Black,4,Black,Police Officer,4
